Gene,MWD_Normal,MWD_Tumor,Difference,SD_Difference,SD_Normal,SD_Tumor,CV_Normal,CV_Tumor,Gene_Name
FN1,0.0,1.0810561822134461,1.0810561822134461,0.5590541771189642,0.0,0.5590541771189642,,0.5171370242518841,
RAC2,0.0,1.0799923564962723,1.0799923564962723,0.35867434753558314,0.0,0.35867434753558314,,0.33210822778338905,
KEAP1,0.00013435735278899066,1.0761840701298915,1.0760497127771025,0.4918358520639881,0.0013368387810794777,0.49174726539148755,9.949874371066198,0.4569360196273259,
APAF1,0.0,1.0664420091066624,1.0664420091066624,0.42794163977991684,0.0,0.42794163977991684,,0.401279803426344,
STK4,0.0,1.0562068430665434,1.0562068430665434,0.3123917018638348,0.0,0.3123917018638348,,0.2957675420439909,
STAT5A,0.0190626032541874,1.0732411866486888,1.0541785833945014,0.3336037031864595,0.053185333996143974,0.32942512897063636,2.790035195453222,0.3069441734707385,
ETS1,0.0,1.025761195386294,1.025761195386294,0.30878093803796963,0.0,0.30878093803796963,,0.30102614470776995,
PLCB2,0.01562388806087079,1.0168337587022664,1.0012098706413957,0.3069302607729107,0.04295236013389706,0.3017152230117175,2.749146689131049,0.29672030499536267,
PLCG2,0.0,0.9639182694932349,0.9639182694932349,0.2925994855923137,0.0,0.2925994855923137,,0.3035521733042194,
RASSF5,0.0,0.9442078060661149,0.9442078060661149,0.3181063013506127,0.0,0.3181063013506127,,0.33690285052392205,
MMP2,0.0,0.9354134573870623,0.9354134573870623,0.3684641645882337,0.0,0.3684641645882337,,0.39390513540128375,
CDK2,0.014104355769649262,0.9485094414319682,0.934405085662319,0.6187709562375524,0.03521519990996975,0.611141596477967,2.4967606096372212,0.6443178842324692,
PDGFRB,0.16401571050922598,1.0689484258444157,0.9049327153351898,0.3741434450227776,0.13766943929088585,0.3812094039011771,0.8393673926934082,0.3566209507255139,
JAG1,0.0029216405893474086,0.9015560166540962,0.8986343760647488,0.36042830121918307,0.011926013011004731,0.359156371603589,4.0819576009753415,0.39837388356245423,
ITGA2,4.823113833588552e-06,0.8868534939191177,0.8868486708052842,0.40346241458704313,4.798937672155757e-05,0.4034605358578457,9.949874371066198,0.45493482139299307,
CUL1,0.08154662924780447,0.9633397969309627,0.8817931676831583,0.5344738122357349,0.07242606907316787,0.5165569710978865,0.8881552768181138,0.5362147113028543,
FZD6,0.0009099598864067817,0.8745250018829586,0.8736150419965518,0.35459682733313724,0.0053660008238837,0.354426780266231,5.896964145389727,0.4052791852755577,
PRKACB,0.00636195244768328,0.8753689004795114,0.8690069480318282,0.5169376718876901,0.023172484707058873,0.5151663895690813,3.6423542768693893,0.5885134704772838,
RASGRP4,0.009916263786336253,0.8766558963330284,0.8667396325466922,0.29340462655397953,0.02429128076596028,0.2891750436473383,2.449640438108509,0.3298615167672186,
GNA11,1.373241136748195,0.5078048322189611,-0.8654363045292338,0.6660595931375842,0.5817092859602337,0.26311939179867844,0.4236031607221647,0.5181506261941666,
WNT5A,0.010547504803692553,0.8675132987751253,0.8569657939714327,0.4840377874078056,0.022108241180491425,0.4813974650676727,2.0960636275559312,0.5549165249078901,
JAK2,0.23956935409036428,1.0900419298609356,0.8504725757705713,0.3924780707701234,0.09897661956420781,0.3911121535889212,0.41314390957899544,0.3588046871176948,
FAS,0.011912158637433157,0.8288526515360221,0.8169404928985889,0.3659362773883524,0.029433850943338568,0.36445442680681445,2.4709082408325784,0.4397095504628125,
ITGAV,0.0009554001461306672,0.8166506279376283,0.8156952277914976,0.34441185390879125,0.0052068061689752206,0.3439238556465438,5.449869554722783,0.42113952268069643,
PLD1,0.0007452985555947353,0.8122589268631338,0.8115136283075391,0.4340973511360964,0.004986273048173356,0.43427555323599243,6.690302846748974,0.534651622621278,
GSTM3,0.0,0.7921683165477701,0.7921683165477701,0.372601916668902,0.0,0.372601916668902,,0.47035700480004367,
GSTA4,0.0,0.7900632453129927,0.7900632453129927,0.4474843957984887,0.0,0.4474843957984887,,0.5663906003135389,
DAPK3,0.00911825458266059,0.7868009985547902,0.7776827439721297,0.30618647574500546,0.03395234681347006,0.301876634323243,3.7235576727627633,0.3836759674653887,
